fold,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,train_roc_auc,val_roc_auc,fit_time_s,score_time_s
1,0.9975082284247913,0.9969875634719136,0.9479297909054218,0.8399156567841266,0.9999946390920115,0.9999464298673528,59.28492999076843,1.5457520484924316
2,0.9984646472159722,0.9978801372580133,0.9603034690222126,0.8640624855409681,0.9999945646120683,0.9999640359159904,53.59027814865112,1.465977668762207
3,0.9988099001431839,0.9981255950491907,0.9650856329737884,0.8509235205977582,0.999994711863305,0.9999567281626921,63.792927980422974,1.745966911315918
4,0.9974995521632221,0.997089210491735,0.9495332698370894,0.8478205829109651,0.9999945405647649,0.9999397010024709,63.26289105415344,1.7308480739593506
5,0.9984900617425903,0.9979966627575144,0.9640984107338231,0.8574304371077839,0.9999946070375607,0.9999514103811485,63.96906805038452,1.645580768585205
